@@,name,position
->,Tatiana Clouthier Carrillo,secretario de Economía->Secretaria de Economía
->,Miguel Torruco Marqués,Secretario de Turismo de México->Secretario de Turismo
->,Luis Cresencio Sandoval,Secretario de la Defensa Nacional de México->Secretario de la Defensa Nacional
->,Delfina Gómez Álvarez,secretario de Educación Pública de México->Secretaria de Educación Pública
---,Luis Videgaray Caso,secretario de Relaciones Exteriores de México
---,Andrés Manuel López Obrador,presidente de México
+++,Víctor Villalobos Arámbula,Secretario de Agricultura y Desarrollo Rural
+++,Rosa Icela Rodríguez Velázquez,Secretaria de Seguridad y Protección Ciudadana
+++,Román Meyer Falcón,"Secretario de Desarrollo Agrario, Territorial y Urbano"
+++,Rogelio Ramírez de la O,Secretario de Hacienda y Crédito Público
+++,Rocío Nahle García,Secretaria de Energía
+++,Roberto Salcedo Aquino,Secretario de la Función Pública
+++,María Luisa Albores González,Secretaria de Medio Ambiente y Recursos Naturales
+++,Marcelo Ebrard Casaubon,Secretario de Relaciones Exteriores
+++,Luisa María Alcalde,Secretaria del Trabajo y Previsión Social
+++,Jorge Arganis Díaz Leal,Secretario de Comunicaciones y Transportes
+++,Javier May Rodríguez,Secretario de Bienestar
+++,Gabinete 2018-2024,Gabinete 2018-2024
+++,Adán Augusto López Hernández,Secretario de Gobernación
