pageid,title
720564,Andrés Manuel López Obrador
2491366,Olga Sánchez Cordero
2691945,Marcelo Ebrard
3222161,Rogelio Ramírez de la O
3691511,Tatiana Clouthier
40083816,Javier Corral Jurado
40420123,Miguel Barbosa Huerta
40421163,Adán Augusto López Hernández
41052291,Diego Sinhué Rodríguez Vallejo
41080043,Luisa María Alcalde Luján
41092043,Jaime Bonilla Valdez
42499720,Rutilio Escandón
44741930,Alejandro Gertz Manero
47070817,Miguel Torruco Marqués
47829920,Mauricio Vila Dosal
54266378,Alfredo del Mazo Maza
57813311,Claudia Sheinbaum
57825047,Alejandra Frausto Guerrero
57825155,Jorge Alcocer Varela
58116144,Delfina Gómez Álvarez
59726331,Luis Cresencio Sandoval
64687721,Jorge Arganis Díaz Leal
65009852,Román Meyer Falcón
65028511,Víctor Villalobos
66626337,María Luisa Albores
66626448,Josefa González Blanco Ortiz Mena
66925088,Rocío Nahle García
66983194,José Rafael Ojeda Durán
69314378,Sergio Gutiérrez Luna
69397182,Roberto Salcedo Aquino
70210081,Rosario Asela Molinero
70973887,José Ramón Amieva
