item,itemLabel,startDate,endDate,psid
Q110915425,Alma Rosa Moreno Razo,2001-01-30,2004,Q110915425-31247149-065E-4F4D-8F98-4228EF76AD29
Q110915429,Aureny Aguirre O. Sunza,2018-12-16,2021-04-22,Q110915429-BAE460B4-BE75-4DEA-AA61-4B79578F4711
Q1415974,Santiago Oñate Laborde,1997-04-04,2001-02-20,Q1415974-88D156CA-ABF5-4A22-834A-8C38ABD9FC51
Q1703809,Jorge Eduardo Navarrete,1985-11-05,1989-03-21,Q1703809-A95778C3-2E01-4BF6-9B88-6E2A343B3CC2
Q24263691,Julián Ventura Valero,2017-03-07,2018-12-15,Q24263691-988F52DD-3911-41EF-84CC-9C618498B8EA
Q30223606,Andrés Rozental Gutman,1994-12-25,1997-04-20,Q30223606-9C9D3DD5-50E8-4F3C-8363-204AE18D59BA
Q4283792,Manuel Tello Macías,1976-12-29,1979-06-15,Q4283792-0E3C789B-418C-46B1-A5B0-BA0C2AAD3181
Q55074790,Diego Gómez Pickering,2013-12-03,2016-04-20,Q55074790-B1E98DD3-411C-4246-B6FA-8446BDC86FA8
Q5577283,Hugo B. Margáin,1973-07-01,1976-12-07,Q5577283-55C9D4A3-49A8-494E-BCD7-99A99A618FFC
Q57086668,Josefa González-Blanco Ortiz-Mena,2021-03-18,,Q57086668-9F89E0C7-1994-45EE-B2E0-DD148B4EA901
Q5819748,Eduardo Suárez Aránzolo,1965,1970,Q5819748-cef17149-4757-4894-cb80-1a6a558c58e0
Q585491,Eduardo Medina Mora,2009-12-12,2013-01-09,Q585491-1B18B4A5-9F54-4083-BC6C-F1E9B046DB05
Q5865509,Francisco Cuevas Cancino,1983-01-18,1986-01-07,Q5865509-CADD30BA-585E-4DEE-A5BF-716B5703AC40
Q5950176,Juan José Bremer,2004-01-08,2009-11-12,Q5950176-E1BDFAAD-2725-492F-94A1-94E8510B09E0
Q823046,Bernardo Sepúlveda Amor,1989-01-17,1993-03-01,Q823046-B7C2386E-8156-4F7D-B946-5A10E2C0FDD8
Q973929,Narciso Bassols,1936-01-01,1937-01-04,Q973929-cca86f07-4923-a1b0-af58-1ccb234c0cad
