item,itemLabel,startDate,endDate
Q2313196,Jesús Enrique Jackson Ramírez,2000-09-01,2001-08-31
Q2108989,Diego Fernández de Cevallos Ramos,2001-09-01,2002-08-31
Q2313196,Jesús Enrique Jackson Ramírez,2002-09-01,2003-08-31
Q2313196,Jesús Enrique Jackson Ramírez,2003-09-01,2004-08-31
Q2108989,Diego Fernández de Cevallos Ramos,2004-09-01,2005-08-31
Q2313196,Jesús Enrique Jackson Ramírez,2005-09-01,2006-08-31
Q2676934,Gustavo Madero Muñoz,2006-09-01,2007-08-31
Q2241589,Santiago Creel Miranda,2007-09-01,2008-08-31
Q2355497,Manlio Fabio Beltrones Rivera,2008-09-01,2009-08-31
Q5940123,José González Morfin,2009-09-01,2010-08-31
Q2355497,Manlio Fabio Beltrones Rivera,2010-09-01,2011-08-31
Q5751134,Carlos Navarrete Ruiz,2011-09-01,2012-08-31
Q2911565,Ernesto Javier Cordero Arroyo,2012-09-01,2013-08-31
Q6101115,Raúl Cervantes Andrade,2013-09-01,2014-08-31
Q6013951,Miguel Barbosa Huerta,2014-09-01,2015-08-31
Q6109764,Roberto Gil Zuarth,2015-09-01,2016-08-31
Q26745937,Pablo Escudero Morales,2016-09-01,2017-08-31
Q2911565,Ernesto Javier Cordero Arroyo,2017-09-01,2018-08-31
Q5475632,Martí Batres Guadarrama,2018-09-01,2019-08-31
Q18378698,Mónica Fernández Balboa,2019-09-01,2020-08-31
Q16216731,Eduardo Ramírez Aguilar,2020-09-01,2021-08-31
Q5099093,Olga Sánchez Cordero,2021-09-01,
