ordinal,item,itemLabel,start,end,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
1,Q95044524,1st. Mexican Constitutional Congress,1825-01-01,,1825-01-01,11,,,,,,,,,,,,,,
2,Q97142445,2nd. Mexican Constitutional Congress,1827-01-01,,1827-01-01,11,,,,,,,,,,,,,,
51,Q5961644,LI Legislature of the Mexican Congress,1979-09-01,1982-08-31,1979-09-01,11,1979-09-01,11,,,1982-08-31,11,,,,,,,,
57,Q2841349,LVII Legislature of the Mexican Congress,1997-09-01,2000-08-31,,,1997-09-01,11,,,2000-08-31,11,,,,,Q5961796,LVI Legislature of the Mexican Congress,Q6460309,LVIII Legislature of the Mexican Congress
58,Q6460309,LVIII Legislature of the Mexican Congress,2000-09-01,2003-08-31,,,2000-09-01,11,,,2003-08-31,11,,,,,Q2841349,LVII Legislature of the Mexican Congress,Q6458866,LIX Legislature of the Mexican Congress
59,Q6458866,LIX Legislature of the Mexican Congress,2003-09-01,2006-08-30,,,2003-09-01,11,,,2006-08-30,11,,,,,Q6460309,LVIII Legislature of the Mexican Congress,Q6460403,LX Legislature of the Mexican Congress
60,Q6460403,LX Legislature of the Mexican Congress,2006-09-01,2009-09-01,,,2006-09-01,11,,,2009-09-01,11,,,Q3008291,LXI Legislature of the Mexican Congress,Q6458866,LIX Legislature of the Mexican Congress,Q3008291,LXI Legislature of the Mexican Congress
61,Q3008291,LXI Legislature of the Mexican Congress,2009-09-01,2012-08-31,2009-09-01,11,,,2012-08-31,11,,,Q6460403,LX Legislature of the Mexican Congress,Q5961807,LXII Legislature of the Mexican Congress,,,,
62,Q5961807,LXII Legislature of the Mexican Congress,2012-09-01,2015-08-31,2012-09-01,11,,,2015-08-31,11,,,Q3008291,LXI Legislature of the Mexican Congress,Q24211828,LXIII Legislature of the Mexican Congress,,,,
63,Q24211828,LXIII Legislature of the Mexican Congress,2015-09-01,2018-08-31,2015-09-01,11,,,,,2018-08-31,11,Q5961807,LXII Legislature of the Mexican Congress,Q56153246,LXIV Legislature of the Mexican Congress,,,,
64,Q56153246,LXIV Legislature of the Mexican Congress,2018-09-01,2021-08-31,,,2018-09-01,11,2021-08-31,11,,,Q24211828,LXIII Legislature of the Mexican Congress,Q105952023,LXV Legislature of the Mexican Congress,,,,
65,Q60520390,LXV Legislature of the Mexican Congress,2021-09-01,2024-08-31,2021-09-01,11,,,2024-08-31,11,,,Q56153246,LXIV Legislature of the Mexican Congress,,,,,,
65,Q105952023,LXV Legislature of the Mexican Congress,2021-09-01,,,,2021-09-01,11,,,,,Q56153246,LXIV Legislature of the Mexican Congress,,,,,,
