position,title
Q5589632,Governor of Baja California
Q5589643,Governor of Campeche
Q9282520,Governor of Chihuahua
Q5589657,Governor of Guanajuato
Q5589701,Governor of Puebla
Q5881754,Governor of Quintana Roo
Q5589723,Governor of Tabasco
Q5589736,Governor of Yucatán
Q5589754,Governor of the State of Mexico
Q2962015,Head of Mexico City government
Q30159018,ambassador to Andorra
Q30158978,ambassador to Austria
Q30159040,ambassador to China
Q30159026,ambassador to France
Q30158979,ambassador to Germany
Q30159000,ambassador to Hungary
Q30158985,ambassador to Poland
Q30158986,ambassador to Spain
Q55086671,ambassador to Ukraine
Q30159013,ambassador United Kingdom
